"Residential Dwelling Property Transactions by Type of Sale, Type of"
"Buyer, Stamp Duty Event, Dwelling Status, County, statistical indicator"
"and Year"

" "," "," "," "," "," ","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"All Sale Types"
" ","All Buyer Types"
" "," ","Filings"
" "," "," ","All Dwelling Statuses"
" "," "," "," ","All Counties"
" "," "," "," "," ","Value of Sales (Euro Million)",378.8,372.9,412.9,442.8,666.5,893.8,948.4,1074.3,1159.9
" "," "," "," "," ","Mean Sale Price (Euro)",151518,139098,127361,132463,146752,164604,177528,186311,203555
" "," "," "," "," ","Median Price (Euro)",145000,130000,112500,115000,128750,141000,158000,175000,188031
" "," "," "," ","Donegal"
" "," "," "," "," ","Volume of Sales  (Number)",703,690,884,853,1160,1518,1470,1410,1541
" "," "," "," "," ","Value of Sales (Euro Million)",67.7,57.6,64.1,61.8,89.0,137.4,136.3,133.5,146.6
" "," "," "," "," ","Mean Sale Price (Euro)",96355,83469,72467,72397,76684,90537,92688,94710,95127
" "," "," "," "," ","Median Price (Euro)",88125,70000,56996,60000,64500,75000,80000,85000,88000
" "," "," "," ","Dublin"
" "," "," "," "," ","Volume of Sales  (Number)",7140,6850,9259,10698,13946,15243,14822,15800,16150
" "," "," "," "," ","Value of Sales (Euro Million)",1984.2,1700.9,2197.8,2832.4,4280.2,4783.3,5070.1,5845.0,6067.3
" "," "," "," "," ","Mean Sale Price (Euro)",277904,248310,237372,264764,306913,313801,342067,369935,375682
" "," "," "," "," ","Median Price (Euro)",250000,206000,184000,197000,244545,252313,271250,295000,309750
" "," "," "," ","Galway"
" "," "," "," "," ","Volume of Sales  (Number)",1030,1141,1340,1662,2176,2913,2664,2677,2724
" "," "," "," "," ","Value of Sales (Euro Million)",162.5,147.3,161.1,213.7,317.0,422.2,412.5,475.6,527.7
" "," "," "," "," ","Mean Sale Price (Euro)",157739,129082,120236,128589,145681,144943,154860,177649,193717
" "," "," "," "," ","Median Price (Euro)",151359,112000,110000,110000,130000,128000,135000,160000,176500
" "," "," "," ","Kerry"
" "," "," "," "," ","Volume of Sales  (Number)",720,826,958,976,1182,1514,1554,1732,1753
" "," "," "," "," ","Value of Sales (Euro Million)",87.2,81.7,91.9,90.0,127.1,166.0,187.5,217.7,229.9
" "," "," "," "," ","Mean Sale Price (Euro)",121073,98868,95948,92187,107533,109655,120681,125669,131153
" "," "," "," "," ","Median Price (Euro)",110000,70000,78000,76500,90000,92000,100000,112250,120000
" "," "," "," ","Kildare"
" "," "," "," "," ","Volume of Sales  (Number)",859,851,1116,1160,1608,1989,1923,2239,2192
" "," "," "," "," ","Value of Sales (Euro Million)",165.1,144.5,160.7,193.8,307.5,439.9,430.8,505.6,532.5
" "," "," "," "," ","Mean Sale Price (Euro)",192256,169759,144005,167079,191209,221180,224029,225811,242939
" "," "," "," "," ","Median Price (Euro)",205000,160000,135000,155000,175875,200000,211800,217500,230000
" "," "," "," ","Kilkenny"
" "," "," "," "," ","Volume of Sales  (Number)",381,440,491,471,617,787,764,797,871
" "," "," "," "," ","Value of Sales (Euro Million)",50.4,50.5,47.9,51.3,77.0,109.5,114.9,121.5,154.3
" "," "," "," "," ","Mean Sale Price (Euro)",132223,114722,97529,108878,124873,139171,150360,152475,177140
" "," "," "," "," ","Median Price (Euro)",129995,94500,80000,92500,110000,118000,138000,150000,170000
" "," "," "," ","Laois"
" "," "," "," "," ","Volume of Sales  (Number)",294,358,430,398,583,650,730,777,787
" "," "," "," "," ","Value of Sales (Euro Million)",35.7,34.0,31.2,31.2,53.0,73.0,82.0,100.3,112.0
" "," "," "," "," ","Mean Sale Price (Euro)",121394,94870,72581,78335,90908,112269,112330,129025,142319
" "," "," "," "," ","Median Price (Euro)",118000,80000,56532,65000,75000,100000,110000,125000,136000
" "," "," "," ","Leitrim"
" "," "," "," "," ","Volume of Sales  (Number)",126,175,185,252,295,406,455,449,479
" "," "," "," "," ","Value of Sales (Euro Million)",10.4,12.5,13.5,16.8,19.5,33.1,35.6,39.5,46.6
" "," "," "," "," ","Mean Sale Price (Euro)",82660,71393,72814,66595,66033,81506,78328,87993,97365
" "," "," "," "," ","Median Price (Euro)",67500,63000,57500,51900,50000,68850,70000,80000,90000
" "," "," "," ","Limerick"
" "," "," "," "," ","Volume of Sales  (Number)",854,928,965,1020,1624,2092,1913,1989,2136
" "," "," "," "," ","Value of Sales (Euro Million)",112.4,109.4,106.7,116.1,171.6,234.5,253.8,277.5,331.6
" "," "," "," "," ","Mean Sale Price (Euro)",131659,117844,110558,113801,105693,112070,132652,139510,155251
" "," "," "," "," ","Median Price (Euro)",121750,102750,86000,93000,86500,90500,110000,120000,145000
" "," "," "," ","Longford"
" "," "," "," "," ","Volume of Sales  (Number)",134,157,198,260,355,432,425,415,496
" "," "," "," "," ","Value of Sales (Euro Million)",11.3,9.6,11.7,13.7,22.5,28.0,32.3,33.4,43.7
" "," "," "," "," ","Mean Sale Price (Euro)",84347,60956,59041,52821,63387,64775,75998,80580,88066
" "," "," "," "," ","Median Price (Euro)",78500,40000,46328,40000,50000,55000,61000,72000,79500
" "," "," "," ","Louth"
" "," "," "," "," ","Volume of Sales  (Number)",535,581,737,822,1089,1301,1283,1287,1264
" "," "," "," "," ","Value of Sales (Euro Million)",70.1,63.7,68.5,80.9,120.7,159.3,177.2,197.8,210.7
" "," "," "," "," ","Mean Sale Price (Euro)",130998,109638,92965,98383,110881,122478,138151,153718,166695
" "," "," "," "," ","Median Price (Euro)",126000,95000,68000,77000,95000,113000,127000,150000,162000
" "," "," "," ","Mayo"
" "," "," "," "," ","Volume of Sales  (Number)",512,582,676,692,994,1316,1248,1271,1299
" "," "," "," "," ","Value of Sales (Euro Million)",51.1,50.7,51.4,57.5,85.5,129.1,123.4,141.9,145.0
" "," "," "," "," ","Mean Sale Price (Euro)",99716,87056,76105,83118,86022,98113,98880,111662,111591
" "," "," "," "," ","Median Price (Euro)",100000,65000,55000,65750,70000,85000,80000,95000,100000
" "," "," "," ","Meath"
" "," "," "," "," ","Volume of Sales  (Number)",757,704,873,933,1433,1613,1469,1682,1740
" "," "," "," "," ","Value of Sales (Euro Million)",139.7,100.5,112.0,130.0,243.5,287.7,279.6,348.9,389.2
" "," "," "," "," ","Mean Sale Price (Euro)",184534,142817,128240,139356,169905,178389,190363,207436,223652
" "," "," "," "," ","Median Price (Euro)",185000,133250,110000,123650,150000,165000,180000,200000,219250
" "," "," "," ","Monaghan"
" "," "," "," "," ","Volume of Sales  (Number)",192,206,216,236,290,360,379,433,440
" "," "," "," "," ","Value of Sales (Euro Million)",20.8,15.6,14.0,15.1,23.5,33.3,37.9,47.8,52.4
" "," "," "," "," ","Mean Sale Price (Euro)",108308,75907,65031,64165,81024,92447,100082,110306,119064
" "," "," "," "," ","Median Price (Euro)",106750,55696,45591,48746,61750,82500,85000,100000,100000
" "," "," "," ","Offaly"
" "," "," "," "," ","Volume of Sales  (Number)",242,280,319,374,485,609,633,715,708
" "," "," "," "," ","Value of Sales (Euro Million)",27.2,24.4,29.1,31.1,50.6,59.3,65.1,85.3,90.2
" "," "," "," "," ","Mean Sale Price (Euro)",112599,87175,91290,83138,104350,97422,102809,119278,127458
" "," "," "," "," ","Median Price (Euro)",105000,71000,80000,71250,90000,86000,90000,110000,125000
" "," "," "," ","Roscommon"
" "," "," "," "," ","Volume of Sales  (Number)",273,277,379,422,499,672,710,716,807
" "," "," "," "," ","Value of Sales (Euro Million)",22.1,22.7,22.8,29.4,33.7,51.0,53.3,65.9,85.3
" "," "," "," "," ","Mean Sale Price (Euro)",80916,81906,60230,69570,67511,75928,75130,92003,105698
" "," "," "," "," ","Median Price (Euro)",70000,60057,47500,53250,55000,60000,60000,75000,85000
" "," "," "," ","Sligo"
" "," "," "," "," ","Volume of Sales  (Number)",285,314,411,436,657,675,751,750,876
" "," "," "," "," ","Value of Sales (Euro Million)",34.2,24.7,33.3,38.0,64.6,70.4,72.9,89.0,103.8
" "," "," "," "," ","Mean Sale Price (Euro)",119975,78730,81107,87151,98349,104336,97011,118719,118545
" "," "," "," "," ","Median Price (Euro)",101579,59000,60500,69000,75000,81000,80000,95000,92500
" "," "," "," ","Tipperary"
" "," "," "," "," ","Volume of Sales  (Number)",637,625,750,773,978,1335,1386,1543,1650
" "," "," "," "," ","Value of Sales (Euro Million)",68.3,57.1,58.6,69.8,96.7,132.5,143.3,173.1,196.8
" "," "," "," "," ","Mean Sale Price (Euro)",107161,91400,78110,90299,98852,99243,103414,112173,119246
" "," "," "," "," ","Median Price (Euro)",100000,77000,55000,72000,71000,80000,85000,95000,108600
" "," "," "," ","Waterford"
" "," "," "," "," ","Volume of Sales  (Number)",513,626,693,778,1070,1336,1458,1398,1453
" "," "," "," "," ","Value of Sales (Euro Million)",68.9,68.2,64.6,74.0,116.8,148.3,182.5,181.4,212.4
" "," "," "," "," ","Mean Sale Price (Euro)",134313,108918,93252,95165,109165,111013,125153,129768,146147
" "," "," "," "," ","Median Price (Euro)",115000,83000,68000,70000,81750,85000,101500,100500,125000
" "," "," "," ","Westmeath"
" "," "," "," "," ","Volume of Sales  (Number)",372,383,466,516,825,1065,1036,1191,1030
" "," "," "," "," ","Value of Sales (Euro Million)",43.6,37.4,36.8,47.5,77.4,105.9,116.5,143.2,156.1
" "," "," "," "," ","Mean Sale Price (Euro)",117256,97713,79008,92008,93763,99453,112450,120228,151576
" "," "," "," "," ","Median Price (Euro)",119900,87500,70000,75000,82000,87500,99000,110000,150000
" "," "," "," ","Wexford"
" "," "," "," "," ","Volume of Sales  (Number)",673,775,1005,998,1411,1606,1579,1746,1731
" "," "," "," "," ","Value of Sales (Euro Million)",88.9,78.9,101.5,98.3,154.8,183.4,202.5,245.3,262.1
" "," "," "," "," ","Mean Sale Price (Euro)",132126,101811,100971,98511,109714,114169,128260,140470,151411
" "," "," "," "," ","Median Price (Euro)",130000,92000,89000,85000,98000,105000,122500,140000,150000
" "," "," "," ","Wicklow"
" "," "," "," "," ","Volume of Sales  (Number)",605,772,878,981,1285,1326,1278,1460,1343
" "," "," "," "," ","Value of Sales (Euro Million)",145.4,125.5,151.8,197.6,307.7,332.3,351.6,405.4,386.2
" "," "," "," "," ","Mean Sale Price (Euro)",240357,162519,172912,201420,239477,250591,275082,277651,287587
" "," "," "," "," ","Median Price (Euro)",225500,136250,141000,155000,200000,215000,250000,256000,270000
" "," ","Executions"
" "," "," ","All Dwelling Statuses"
" "," "," "," ","All Counties"
" "," "," "," "," ","Volume of Sales  (Number)",26853,24097,31369,34455,48914,53586,55080,60081,63346
" "," "," "," "," ","Value of Sales (Euro Million)",5139.6,3910.6,4865.8,5796.3,9123.0,10539.1,12003.0,14371.2,16093.0
" "," "," "," "," ","Mean Sale Price (Euro)",191397,162285,155114,168229,186511,196677,217919,239197,254050
" "," "," "," "," ","Median Price (Euro)",175000,135000,125000,121000,139000,150000,170000,195000,215000
" "," "," "," ","Carlow"
" "," "," "," "," ","Volume of Sales  (Number)",285,245,293,412,488,581,554,588,771
" "," "," "," "," ","Value of Sales (Euro Million)",38.6,25.4,24.1,37.4,46.6,63.6,69.6,76.1,113.3
" "," "," "," "," ","Mean Sale Price (Euro)",135348,103729,82399,90898,95416,109521,125636,129374,146972
" "," "," "," "," ","Median Price (Euro)",149000,91000,70455,75000,90000,106075,125000,125000,145000
" "," "," "," ","Cavan"
" "," "," "," "," ","Volume of Sales  (Number)",363,340,423,563,890,855,822,908,868
" "," "," "," "," ","Value of Sales (Euro Million)",44.5,33.7,33.1,40.8,62.7,74.4,78.9,98.9,108.7
" "," "," "," "," ","Mean Sale Price (Euro)",122588,99169,78287,72391,70419,86972,96005,108903,125219
" "," "," "," "," ","Median Price (Euro)",125000,92500,65000,55000,55000,75000,85000,94500,115000
" "," "," "," ","Clare"
" "," "," "," "," ","Volume of Sales  (Number)",706,590,735,776,1203,1403,1478,1407,1332
" "," "," "," "," ","Value of Sales (Euro Million)",90.3,67.8,75.9,75.4,118.2,142.9,194.1,209.4,208.0
" "," "," "," "," ","Mean Sale Price (Euro)",127853,114834,103283,97154,98257,101849,131343,148815,156162
" "," "," "," "," ","Median Price (Euro)",126500,100000,90000,81277,78032,85000,130000,122500,148500
" "," "," "," ","Cork"
" "," "," "," "," ","Volume of Sales  (Number)",3051,2845,3536,3821,5308,5898,6159,6689,6687
" "," "," "," "," ","Value of Sales (Euro Million)",524.2,411.0,479.9,530.8,803.8,1007.3,1144.5,1335.1,1510.5
" "," "," "," "," ","Mean Sale Price (Euro)",171812,144456,135708,138929,151430,170784,185829,199591,225893
" "," "," "," "," ","Median Price (Euro)",172667,138000,126000,124850,130000,150000,170000,189000,204000
" "," "," "," ","Donegal"
" "," "," "," "," ","Volume of Sales  (Number)",908,736,969,912,1402,1574,1604,1521,1702
" "," "," "," "," ","Value of Sales (Euro Million)",98.2,70.0,73.7,68.7,110.0,152.3,155.9,153.6,170.6
" "," "," "," "," ","Mean Sale Price (Euro)",108123,95170,76061,75331,78492,96731,97206,100996,100246
" "," "," "," "," ","Median Price (Euro)",102325,80000,60970,62000,65800,81000,83693,90800,91000
" "," "," "," ","Dublin"
" "," "," "," "," ","Volume of Sales  (Number)",8456,7450,10494,11833,16459,16936,17911,19846,21246
" "," "," "," "," ","Value of Sales (Euro Million)",2323.2,1828.2,2522.1,3157.6,5018.8,5400.8,6343.2,7553.2,8348.0
" "," "," "," "," ","Mean Sale Price (Euro)",274745,245395,240333,266846,304926,318893,354151,380590,392923
" "," "," "," "," ","Median Price (Euro)",247000,200000,185000,200000,243703,260000,287000,315000,334999
" "," "," "," ","Galway"
" "," "," "," "," ","Volume of Sales  (Number)",1278,1262,1530,1850,2684,3080,2994,3028,2955
" "," "," "," "," ","Value of Sales (Euro Million)",216.1,176.1,188.8,242.3,374.0,448.3,474.8,555.0,587.0
" "," "," "," "," ","Mean Sale Price (Euro)",169111,139558,123427,130986,139329,145554,158569,183275,198650
" "," "," "," "," ","Median Price (Euro)",172000,130000,114500,113625,120000,128000,140000,165000,180000
" "," "," "," ","Kerry"
" "," "," "," "," ","Volume of Sales  (Number)",918,853,1052,1089,1402,1634,1689,1832,1949
" "," "," "," "," ","Value of Sales (Euro Million)",117.0,92.0,109.3,110.1,150.1,193.1,215.8,243.7,269.2
" "," "," "," "," ","Mean Sale Price (Euro)",127497,107892,103875,101130,107051,118180,127792,133023,138105
" "," "," "," "," ","Median Price (Euro)",125000,85000,85000,87963,90000,100000,110095,120000,130000
" "," "," "," ","Kildare"
" "," "," "," "," ","Volume of Sales  (Number)",1256,988,1290,1468,2014,2417,2477,3023,3248
" "," "," "," "," ","Value of Sales (Euro Million)",258.7,174.7,199.7,253.7,418.3,570.6,601.1,756.8,887.1
" "," "," "," "," ","Mean Sale Price (Euro)",206000,176823,154833,172803,207703,236057,242668,250335,273120
" "," "," "," "," ","Median Price (Euro)",207000,170000,149000,158700,192976,220000,235000,249000,270000
" "," "," "," ","Kilkenny"
" "," "," "," "," ","Volume of Sales  (Number)",443,468,580,530,742,895,802,855,943
" "," "," "," "," ","Value of Sales (Euro Million)",65.3,56.7,63.2,59.7,95.8,126.6,123.1,134.8,171.8
" "," "," "," "," ","Mean Sale Price (Euro)",147409,121230,108941,112701,129055,141405,153536,157680,182158
" "," "," "," "," ","Median Price (Euro)",145000,106413,99250,96750,107913,124061,140000,150000,175000
" "," "," "," ","Laois"
" "," "," "," "," ","Volume of Sales  (Number)",397,426,551,506,704,706,862,858,934
" "," "," "," "," ","Value of Sales (Euro Million)",54.7,43.5,43.7,39.2,67.6,79.2,103.4,116.7,137.8
" "," "," "," "," ","Mean Sale Price (Euro)",137874,102169,79316,77390,96003,112193,119970,135988,147563
" "," "," "," "," ","Median Price (Euro)",136200,100000,70000,65000,81500,100500,124370,130500,142500
" "," "," "," ","Leitrim"
" "," "," "," "," ","Volume of Sales  (Number)",190,214,254,349,395,487,495,522,510
" "," "," "," "," ","Value of Sales (Euro Million)",18.3,18.6,18.0,24.3,28.1,42.2,41.0,47.6,52.4
" "," "," "," "," ","Mean Sale Price (Euro)",96434,86769,70952,69656,71194,86562,82899,91227,102785
" "," "," "," "," ","Median Price (Euro)",91650,77213,60000,59001,56000,69000,71000,80000,92250
" "," "," "," ","Limerick"
" "," "," "," "," ","Volume of Sales  (Number)",1012,960,1044,1045,1816,2244,2061,2223,2420
" "," "," "," "," ","Value of Sales (Euro Million)",146.6,120.9,120.9,121.9,191.4,271.7,276.0,335.5,416.2
" "," "," "," "," ","Mean Sale Price (Euro)",144895,125976,115772,116627,105391,121074,133905,150906,172000
" "," "," "," "," ","Median Price (Euro)",147250,120000,96000,100000,85313,102000,115000,135000,155000
" "," "," "," ","Longford"
" "," "," "," "," ","Volume of Sales  (Number)",188,189,252,308,471,508,470,462,524
" "," "," "," "," ","Value of Sales (Euro Million)",19.7,14.0,16.2,17.2,30.5,34.6,37.6,39.1,47.6
" "," "," "," "," ","Mean Sale Price (Euro)",104635,74188,64190,55697,64785,68192,80093,84669,90903
" "," "," "," "," ","Median Price (Euro)",92750,61000,53001,45000,51080,57000,67525,72000,80000
" "," "," "," ","Louth"
" "," "," "," "," ","Volume of Sales  (Number)",699,602,898,916,1298,1444,1369,1498,1734
" "," "," "," "," ","Value of Sales (Euro Million)",106.0,70.7,94.4,95.9,151.2,181.4,204.7,257.0,324.9
" "," "," "," "," ","Mean Sale Price (Euro)",151623,117511,105168,104697,116501,125628,149533,171551,187354
" "," "," "," "," ","Median Price (Euro)",145000,105500,85438,86000,101000,120000,140000,165000,196500
" "," "," "," ","Mayo"
" "," "," "," "," ","Volume of Sales  (Number)",615,618,762,743,1187,1437,1302,1354,1400
" "," "," "," "," ","Value of Sales (Euro Million)",65.5,61.7,60.4,63.6,102.5,144.1,133.1,153.1,160.4
" "," "," "," "," ","Mean Sale Price (Euro)",106463,99809,79283,85542,86357,100275,102258,113038,114594
" "," "," "," "," ","Median Price (Euro)",115533,79750,60000,70000,70000,86000,85000,100000,103000
" "," "," "," ","Meath"
" "," "," "," "," ","Volume of Sales  (Number)",1037,797,999,1103,1767,1748,1856,2498,2773
" "," "," "," "," ","Value of Sales (Euro Million)",201.0,122.8,137.1,162.7,300.3,336.3,386.9,590.8,701.8
" "," "," "," "," ","Mean Sale Price (Euro)",193822,154022,137210,147462,169963,192370,208451,236498,253084
" "," "," "," "," ","Median Price (Euro)",195000,149999,123000,130000,150000,179250,200000,239500,256192
" "," "," "," ","Monaghan"
" "," "," "," "," ","Volume of Sales  (Number)",266,217,239,294,374,389,418,492,495
" "," "," "," "," ","Value of Sales (Euro Million)",33.5,19.3,18.1,21.9,31.5,39.1,45.5,58.5,59.3
" "," "," "," "," ","Mean Sale Price (Euro)",125854,88842,75644,74542,84227,100564,108963,118992,119764
" "," "," "," "," ","Median Price (Euro)",130000,70000,55000,61500,70000,90800,95000,120000,110000
" "," "," "," ","Offaly"
" "," "," "," "," ","Volume of Sales  (Number)",338,271,390,383,551,643,682,739,749
" "," "," "," "," ","Value of Sales (Euro Million)",39.7,26.1,34.6,32.7,57.0,63.3,68.6,93.2,95.9
" "," "," "," "," ","Mean Sale Price (Euro)",117520,96206,88811,85370,103404,98492,100649,126174,127975
" "," "," "," "," ","Median Price (Euro)",118074,87000,81000,70001,92000,86000,90000,125000,124850
" "," "," "," ","Roscommon"
" "," "," "," "," ","Volume of Sales  (Number)",364,301,444,550,616,737,781,784,897
" "," "," "," "," ","Value of Sales (Euro Million)",38.8,24.9,30.4,38.1,40.9,56.1,59.4,74.6,95.7
" "," "," "," "," ","Mean Sale Price (Euro)",106568,82857,68445,69274,66364,76075,76117,95170,106734
" "," "," "," "," ","Median Price (Euro)",100000,70000,60000,57750,55000,59000,60000,80000,90000
" "," "," "," ","Sligo"
" "," "," "," "," ","Volume of Sales  (Number)",406,338,481,496,788,744,847,842,988
" "," "," "," "," ","Value of Sales (Euro Million)",52.5,28.6,41.4,45.4,79.5,79.8,83.0,102.9,124.4
" "," "," "," "," ","Mean Sale Price (Euro)",129268,84709,86163,91631,100949,107238,98040,122170,125863
" "," "," "," "," ","Median Price (Euro)",116568,67483,68736,71896,80000,85000,79000,96500,98500
" "," "," "," ","Tipperary"
" "," "," "," "," ","Volume of Sales  (Number)",762,655,775,849,1102,1408,1481,1671,1754
" "," "," "," "," ","Value of Sales (Euro Million)",91.6,74.9,66.1,75.7,102.3,147.8,160.3,190.4,217.3
" "," "," "," "," ","Mean Sale Price (Euro)",120175,114383,85243,89129,92791,104957,108262,113944,123875
" "," "," "," "," ","Median Price (Euro)",120000,95000,65000,70000,75500,88000,90000,98500,115000
" "," "," "," ","Waterford"
" "," "," "," "," ","Volume of Sales  (Number)",639,649,736,868,1203,1403,1597,1519,1683
" "," "," "," "," ","Value of Sales (Euro Million)",90.4,76.2,71.0,84.5,130.8,161.9,203.8,214.0,269.4
" "," "," "," "," ","Mean Sale Price (Euro)",141455,117370,96461,97399,108729,115379,127599,140900,160043
" "," "," "," "," ","Median Price (Euro)",130000,95000,77250,75750,82855,93732,110000,120000,146442
