"Residential Dwelling Property Transactions by Type of Sale, Type of"
"Buyer, Stamp Duty Event, Dwelling Status, County, statistical indicator"
"and Year"

" "," "," "," "," "," ","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"All Sale Types"
" ","All Buyer Types"
" "," ","Filings"
" "," "," ","All Dwelling Statuses"
" "," "," "," ","All Counties"
" "," "," "," "," ","Volume of Sales  (Number)",171,91,82,93,138,124,129,181,121
" "," "," "," "," ","Value of Sales (Euro Million)",33.0,15.4,16.5,11.8,14.3,16.0,17.7,25.0,25.7
" "," "," "," "," ","Mean Sale Price (Euro)",193223,169364,200920,127196,103706,128708,136993,138067,212582
" "," "," "," "," ","Median Price (Euro)",193518,167044,174393,102434,69803,122142,117999,149999,207138
" "," "," "," ","Cork"
" "," "," "," "," ","Volume of Sales  (Number)",762,517,433,397,631,820,903,957,988
" "," "," "," "," ","Value of Sales (Euro Million)",195.7,111.1,81.8,74.8,112.0,152.5,201.0,246.0,315.7
" "," "," "," "," ","Mean Sale Price (Euro)",256888,214944,188902,188492,177447,185968,222548,257099,319509
" "," "," "," "," ","Median Price (Euro)",255375,203733,174999,170250,151000,171031,220000,257829,320000
" "," "," "," ","Donegal"
" "," "," "," "," ","Volume of Sales  (Number)",231,170,125,105,188,146,146,146,169
" "," "," "," "," ","Value of Sales (Euro Million)",44.2,29.4,17.1,11.7,16.4,18.7,20.9,23.0,24.8
" "," "," "," "," ","Mean Sale Price (Euro)",191154,172959,136993,111693,87247,127950,143450,157410,146543
" "," "," "," "," ","Median Price (Euro)",181600,161425,135000,119175,81011,124850,142679,151613,137700
" "," "," "," ","Dublin"
" "," "," "," "," ","Volume of Sales  (Number)",1864,974,1075,1285,1871,2651,2520,4743,5135
" "," "," "," "," ","Value of Sales (Euro Million)",510.0,253.0,269.0,299.2,538.8,828.5,1046.1,1864.2,2252.2
" "," "," "," "," ","Mean Sale Price (Euro)",273610,259742,250224,232859,287975,312511,415109,393034,438589
" "," "," "," "," ","Median Price (Euro)",254975,220865,204300,181600,265000,272443,360000,340767,385000
" "," "," "," ","Galway"
" "," "," "," "," ","Volume of Sales  (Number)",331,256,192,184,350,295,446,355,275
" "," "," "," "," ","Value of Sales (Euro Million)",71.5,48.5,31.0,26.2,42.0,39.7,68.6,70.4,64.1
" "," "," "," "," ","Mean Sale Price (Euro)",216025,189427,161264,142289,119947,134602,153773,198200,233218
" "," "," "," "," ","Median Price (Euro)",204999,168750,149726,118955,95340,110000,139866,170250,240000
" "," "," "," ","Kerry"
" "," "," "," "," ","Volume of Sales  (Number)",252,149,141,132,131,204,167,137,196
" "," "," "," "," ","Value of Sales (Euro Million)",47.3,28.0,25.1,18.8,17.6,32.5,27.1,27.9,38.6
" "," "," "," "," ","Mean Sale Price (Euro)",187593,187619,178206,142217,134615,159088,162024,203511,197155
" "," "," "," "," ","Median Price (Euro)",195607,183100,170250,140000,124999,118587,145848,170000,187000
" "," "," "," ","Kildare"
" "," "," "," "," ","Volume of Sales  (Number)",552,211,211,303,441,513,550,761,1001
" "," "," "," "," ","Value of Sales (Euro Million)",113.2,48.0,45.3,61.1,106.1,144.1,169.0,233.9,338.9
" "," "," "," "," ","Mean Sale Price (Euro)",205069,227561,214554,201608,240561,280983,307329,307376,338537
" "," "," "," "," ","Median Price (Euro)",198813,205000,225000,181274,245000,285000,315833,315000,339999
" "," "," "," ","Kilkenny"
" "," "," "," "," ","Volume of Sales  (Number)",97,93,100,74,123,142,47,66,61
" "," "," "," "," ","Value of Sales (Euro Million)",24.1,16.0,15.6,10.5,15.4,20.3,10.5,12.1,15.1
" "," "," "," "," ","Mean Sale Price (Euro)",248010,171659,156323,141792,125441,142742,223976,183272,247388
" "," "," "," "," ","Median Price (Euro)",232675,150875,130263,112183,102150,130349,195000,136790,204300
" "," "," "," ","Laois"
" "," "," "," "," ","Volume of Sales  (Number)",135,117,147,89,118,101,107,120,147
" "," "," "," "," ","Value of Sales (Euro Million)",26.2,17.1,15.5,8.1,11.7,10.6,16.2,20.8,24.3
" "," "," "," "," ","Mean Sale Price (Euro)",193741,145784,105491,90660,98931,105125,151814,173394,165578
" "," "," "," "," ","Median Price (Euro)",189999,137000,90800,77180,85050,105000,145000,175000,179999
" "," "," "," ","Leitrim"
" "," "," "," "," ","Volume of Sales  (Number)",91,78,69,79,90,101,76,70,39
" "," "," "," "," ","Value of Sales (Euro Million)",16.3,11.2,6.9,6.4,7.5,10.3,7.4,8.1,5.6
" "," "," "," "," ","Mean Sale Price (Euro)",179386,143715,100102,80771,83258,102003,97825,115872,144342
" "," "," "," "," ","Median Price (Euro)",180001,140000,87963,73775,61290,65000,77290,90400,113500
" "," "," "," ","Limerick"
" "," "," "," "," ","Volume of Sales  (Number)",278,188,88,84,128,193,219,258,277
" "," "," "," "," ","Value of Sales (Euro Million)",58.9,31.2,14.2,14.3,16.5,26.6,35.7,57.3,74.1
" "," "," "," "," ","Mean Sale Price (Euro)",212013,165862,161877,170614,129218,137670,163175,221912,267400
" "," "," "," "," ","Median Price (Euro)",204300,160585,147872,141334,112365,118841,165455,215000,272547
" "," "," "," ","Longford"
" "," "," "," "," ","Volume of Sales  (Number)",72,58,45,48,82,109,62,53,31
