"Business Demography NACE Rev 2 by Employment Size, County, statistical",,,,,,,,,,,,
indicator and Year,,,,,,,,,,,,
,,,,,,,,,,,,
 , , ,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 , ,Active Enterprises (Number),217,173,174,166,162,169,169,175,198,195
 , ,Persons Engaged (Number),6410,5164,5219,4836,4741,4953,4973,5055,5581,5643
 , ,Employees (Number),6390,5144,5198,4820,4725,4934,4960,5036,5563,5618
 ,Dublin,,,,,,,,,,,
 , ,Active Enterprises (Number),2466,2137,1999,1942,1976,1983,2043,2133,2288,2466
 , ,Persons Engaged (Number),73751,64145,59865,58377,59353,59269,61973,64433,69265,73994
 , ,Employees (Number),73378,63828,59554,58126,59114,59058,61773,64223,69066,73761
 ,Galway,,,,,,,,,,,
 , ,Active Enterprises (Number),342,295,263,251,249,266,274,290,301,321
 , ,Persons Engaged (Number),10279,8749,7838,7360,7452,7824,8065,8581,8871,9575
 , ,Employees (Number),10218,8705,7811,7336,7422,7787,8035,8544,8846,9547
 ,Kerry,,,,,,,,,,,
 , ,Active Enterprises (Number),183,144,120,121,123,138,154,154,168,177
 , ,Persons Engaged (Number),5178,4021,3390,3385,3370,3841,4347,4429,4874,5020
 , ,Employees (Number),5151,3997,3368,3370,3350,3821,4324,4402,4850,4996
 ,Kildare,,,,,,,,,,,
 , ,Active Enterprises (Number),229,183,167,167,184,201,201,196,212,234
 , ,Persons Engaged (Number),6719,5329,4927,5003,5452,6063,5997,5922,6290,6986
 , ,Employees (Number),6677,5304,4905,4984,5429,6042,5978,5905,6267,6963
 ,Kilkenny,,,,,,,,,,,
 , ,Active Enterprises (Number),122,100,87,94,90,90,94,96,97,110
 , ,Persons Engaged (Number),3627,3007,2618,2819,2684,2704,2831,2915,2971,3391
 , ,Employees (Number),3610,2997,2608,2809,2675,2694,2820,2902,2963,3381
 ,Laois,,,,,,,,,,,
 , ,Active Enterprises (Number),68,61,52,44,46,45,47,58,59,64
 , ,Persons Engaged (Number),2070,1861,1554,1375,1419,1409,1457,1845,1890,1913
 , ,Employees (Number),2059,1857,1551,1372,1417,1407,1454,1843,1888,1910
 ,Leitrim,,,,,,,,,,,
 , ,Active Enterprises (Number),38,25,23,23,26,27,30,34,30,33
 , ,Persons Engaged (Number),1189,807,688,690,738,812,896,1011,938,988
 , ,Employees (Number),1182,804,686,688,732,805,891,1007,935,985
 ,Limerick,,,,,,,,,,,
